Locations,Total Cases
Agoura Hills,3.0
Alhambra,6.0
Altadena,5.0
Arcadia,4.0
Arleta,1.0
Athens,1.0
Baldwin Hills,3.0
Bell Gardens,3.0
Bellflower,7.0
Beverly Hills,13.0
Beverlywood,8.0
Boyle Heights,5.0
Brentwood,34.0
Burbank,3.0
Calabasas,4.0
Canoga Park,2.0
Canyon County,1.0
Carson,9.0
Castaic,2.0
Century City,7.0
Century Palms/Cove,3.0
Cerritos,2.0
Claremont,1.0
Cloverdale/Cochran,3.0
Compton,2.0
Covina,3.0
Crenshaw District,2.0
Crestview,7.0
Culver City,6.0
Del Rey,5.0
Diamond Bar,2.0
Downey,5.0
Downtown,6.0
Duarte,1.0
Eagle Rock,2.0
East Hollywood,1.0
East Los Angeles,3.0
Echo Park,4.0
El Segundo,2.0
Encino,13.0
Exposition Park,1.0
Florence,4.0
Gardena,1.0
Glassell Park,1.0
Glendale,12.0
Glendora,2.0
Granada Hills,7.0
Hancock Park,8.0
Harbor Gateway,2.0
Harvard Heights,1.0
Hawthorne,8.0
Highland Park,2.0
Hollywood,23.0
Hollywood Hills,8.0
Hyde Park,1.0
Inglewood,5.0
Koreatown,5.0
La Canada Flintridge,3.0
La Mirada,4.0
La Verne,2.0
Lake Balboa,2.0
Lakewood,4.0
Lancaster,13.0
Lawndale,1.0
Lomita,9.0
Los Feliz,3.0
Lynwood,3.0
Manhattan Beach,17.0
Mar Vista,6.0
Melrose,33.0
Miracle Mile,8.0
Monterey Park,4.0
Mt. Washington,2.0
North Hollywood,11.0
Northridge,2.0
Norwalk,1.0
Pacific Palisades,9.0
Palmdale,2.0
Palms,8.0
Paramount City,1.0
Park LaBrea,8.0
Pico,2.0
Pico Rivera,1.0
Playa Vista,5.0
Pomona,1.0
Porter Ranch,1.0
Rancho Palos Verdes,5.0
Redondo Beach,9.0
Reseda,5.0
San Dimas,1.0
San Fernado,3.0
San Gabriel,1.0
San Pedro,4.0
Santa Clarita,10.0
Santa Monica,18.0
Santa Monica Mountains,3.0
Sherman Oaks,12.0
Silverlake,6.0
South El Monte,3.0
South Gate,2.0
South Park,1.0
South Pasadena,3.0
South Whittier,3.0
Stevenson Ranch,2.0
Studio City,7.0
Sun Valley,2.0
Sunland,1.0
Sylmar,1.0
Tarzana,9.0
Temple City,3.0
Torrance,9.0
Tujunga,1.0
University Park,4.0
Valley Glen,11.0
Van Nuys,4.0
Venice,9.0
Vermont Knolls,1.0
Vermont Vista,3.0
Vermont Central,1.0
Walnut,1.0
West Adams,4.0
West Covina,2.0
West Hills,4.0
West Hollywood,31.0
West Los Angeles,4.0
West Vernon,5.0
Westchester,5.0
Westlake,1.0
Westwood,9.0
Whittier,3.0
Wholesale District,4.0
Willowbrook,1.0
Wilmington,4.0
Wilshire Center,2.0
Winnetka,3.0
Woodland Hills,11.0
